OS NameSpace	OS Deployment Config	BitBucket Project	Bit Bucket Repo	OS Image
agreement-management	agreement-event-management	AGRM	agreement-event-management.git	docker-registry.default.svc:5000/agreement-management/agreement-event-management@sha256:7676703bcb461ede903c194211915754708d661f3c90a799789028f2dd7c2c24
agreement-management	agreement-role-management	AGRM	agreement-role-management.git	docker-registry.default.svc:5000/agreement-management/agreement-role-management@sha256:460d2f05967367dee26955b3debbd97decd9196d9054b278f670914eff4482d3
agreement-product-inventory	partner-agreement-product-service	PIA	partner-agreement-product-service.git	docker-registry.default.svc:5000/agreement-product-inventory/partner-agreement-product-service@sha256:760db66482acd2424cfd3a8e4b8693fbe93dd95050059367641cf6b3c66446d5
agreement-product-ordering	mandty-offrs-enchmt-for-agrmt-ownr-chng-job	POA	mandatory-offers-enrichment-for-agreement-owner-change-job.git	docker-registry.default.svc:5000/agreement-product-ordering/mandty-offrs-enchmt-for-agrmt-ownr-chng-job@sha256:33dfc8f37652bb33fe5c51f78bccb316615565c74718a3effca2aca22e8ad865
agreement-product-ordering	order-post-swap-insurance-job	POA	order-post-swap-insurance-job.git	docker-registry.default.svc:5000/agreement-product-ordering/order-post-swap-insurance-job@sha256:d790ae7e85bb5dc3d77607ea06f5a5fc91729708a57e6a4330e282306c43fd4f
agreement-product-ordering	product-ordering-internal-clients	POA	product-ordering-internal-clients.git	docker-registry.default.svc:5000/agreement-product-ordering/product-ordering-internal-clients@sha256:2a4921cfc213c3c8c7dc26092e0a9b01856b7268f25d0c10d550790aa8717550
bsshub-demo	bss-webservice-star	BPT	bss-webservice-star.git	docker-registry.default.svc:5000/bsshub-demo/bss-webservice-star@sha256:52edc084a4761558ef7855e847ddf00359c398bb522010452dc530385fb05964
comet-java-services	comet-java-services	BES	comet-java-services.git	docker-registry.default.svc:5000/comet-java-services/comet-java-services@sha256:7ab006de8e81c8127462f13b48c382065d94bd3a6acd42dfbc47898b381f8b6c
comet-osb-services	arrangement-subscription-service-v3	BES	arrangement-subscription-service-v3.git	docker-registry.default.svc:5000/comet-osb-services/arrangement-subscription-service-v3@sha256:b2847bd6831606739d80c355c7dcc2d408dee06ebd32a2ff8d5bd865c5bda7dd
comet-osb-services	arrangement-subscription-service-v4	BES	arrangement-subscription-service-v4.git	docker-registry.default.svc:5000/comet-osb-services/arrangement-subscription-service-v4@sha256:94a456e914aa7fd19ee5b4fefcd75619fde81730f6a4794501db004ecf293554
comet-osb-services	b2b-deviceagreement-service-v1	B2BS	b2b-deviceagreement-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/b2b-deviceagreement-service-v1@sha256:ccffdfab219d2bd9758a3bf822fb768900358a59197dcda081b63ca3df57023c
comet-osb-services	b2b-insuranceagreement-service-v1	B2BS	b2b-insuranceagreement-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/b2b-insuranceagreement-service-v1@sha256:a4877b42ba38b018b49b53ed338259e0c32e63771c6154d3fe66c14296c52fea
comet-osb-services	b2b-provisioning-service-v2	B2BS	b2b-provisioning-service-v2.git	docker-registry.default.svc:5000/comet-osb-services/b2b-provisioning-service-v2@sha256:ba6c9ec7ae3b7b3024e3d9360b26fcb890a93e10f9dd7c901981655e00498bb1
comet-osb-services	b2b-synchronizeparty-service-v1	B2BS	b2b-synchronizeparty-service-v1.git	docker-registry.default.svc:5000/comet-osb-services/b2b-synchronizeparty-service-v1@sha256:49f01b01792431c3d92f9776283e83c7f8598e7461930fac3e9e2a273bb398da
